,arti,arti_id,count,unique_songs
0,Ed Sheeran,613,7392,46
1,Post Malone,287,7152,41
2,Drake,181,5200,76
3,XXXTENTACION,709,5175,56
4,The Chainsmokers,460,4181,36
5,Billie Eilish,421,3804,23
6,Ariana Grande,359,3403,40
7,Imagine Dragons,776,3084,22
8,Khalid,778,3014,30
9,Ozuna,126,2572,26
10,Travis Scott,614,2567,22
11,Shawn Mendes,521,2427,23
12,Kendrick Lamar,49,2361,19
13,J Balvin,323,2324,22
14,Calvin Harris,606,2143,17
15,Queen,325,2074,15
16,Marshmello,566,1944,12
17,Camila Cabello,315,1856,23
18,The Weeknd,293,1845,22
19,Sam Smith,80,1788,22
